case_id	category	channel	input	expected_act	expected_style	expected_proposal
c001	private	WHISPER	пригласи меня	ack.action_proposed	neutral	party.invite
c002	party-election	PARTY	идем в гиран	ack.action_proposed	neutral	party.travel
c003	local-trade-address	GENERAL	Фантом, где кларисса	ack.query_proposed	neutral	entity.locate
c004	clarification	WHISPER	хилер	ack.action_proposed	neutral	party.invite
c005	social-style	WHISPER	пригласи меня	ack.action_proposed	warm	party.invite
c006	cooldown	TRADE	Фантом, где взять адену	no_response.cooldown	neutral	none
c007	semantic-rejection	GENERAL	Фантом, непонятный текст	no_response.unsupported	neutral	none
c008	proposal-mapping	WHISPER	где взять адену	ack.query_proposed	neutral	item.acquire
c009	duplicate	PARTY	соберемся	ack.action_proposed	neutral	party.regroup
c010	restart	WHISPER	пригласи меня	ack.action_proposed	neutral	party.invite
c011	private	WHISPER	пригласи меня	ack.action_proposed	neutral	party.invite
c012	party-election	PARTY	идем в гиран	ack.action_proposed	neutral	party.travel
c013	local-trade-address	GENERAL	Фантом, где кларисса	ack.query_proposed	neutral	entity.locate
c014	clarification	WHISPER	хилер	ack.action_proposed	neutral	party.invite
c015	social-style	WHISPER	пригласи меня	ack.action_proposed	warm	party.invite
c016	cooldown	TRADE	Фантом, где взять адену	no_response.cooldown	neutral	none
c017	semantic-rejection	GENERAL	Фантом, непонятный текст	no_response.unsupported	neutral	none
c018	proposal-mapping	WHISPER	где взять адену	ack.query_proposed	neutral	item.acquire
c019	duplicate	PARTY	соберемся	ack.action_proposed	neutral	party.regroup
c020	restart	WHISPER	пригласи меня	ack.action_proposed	neutral	party.invite
c021	private	WHISPER	пригласи меня	ack.action_proposed	neutral	party.invite
c022	party-election	PARTY	идем в гиран	ack.action_proposed	neutral	party.travel
c023	local-trade-address	GENERAL	Фантом, где кларисса	ack.query_proposed	neutral	entity.locate
c024	clarification	WHISPER	хилер	ack.action_proposed	neutral	party.invite
c025	social-style	WHISPER	пригласи меня	ack.action_proposed	warm	party.invite
c026	cooldown	TRADE	Фантом, где взять адену	no_response.cooldown	neutral	none
c027	semantic-rejection	GENERAL	Фантом, непонятный текст	no_response.unsupported	neutral	none
c028	proposal-mapping	WHISPER	где взять адену	ack.query_proposed	neutral	item.acquire
c029	duplicate	PARTY	соберемся	ack.action_proposed	neutral	party.regroup
c030	restart	WHISPER	пригласи меня	ack.action_proposed	neutral	party.invite
c031	private	WHISPER	пригласи меня	ack.action_proposed	neutral	party.invite
c032	party-election	PARTY	идем в гиран	ack.action_proposed	neutral	party.travel
c033	local-trade-address	GENERAL	Фантом, где кларисса	ack.query_proposed	neutral	entity.locate
c034	clarification	WHISPER	хилер	ack.action_proposed	neutral	party.invite
c035	social-style	WHISPER	пригласи меня	ack.action_proposed	warm	party.invite
c036	cooldown	TRADE	Фантом, где взять адену	no_response.cooldown	neutral	none
